,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
40_1723180201521.png,D,A,B,C,A,E,A,D,E,B,C,A,D,E,C,C,B,A,E,D,B,C,B,C,E,D,C,B,B,A,A,A,E,B,E,C,B,D,C,E,D,B,D,B,B,A,B,D,D,B,C,C,B,C,B,A,B,A,D,B,C,D,D,C,B,B,D,C,D,D,C,B
40_17231887071431.png,E,B,C,C,C,A,B,A,C,D,D,D,A,C,B,E,A,E,B,B,D,D,C,D,A,D,A,C,E,A,D,D,A,C,C,D,E,A,B,A,B,A,C,A,C,C,B,C,E,B,D,B,C,B,D,D,A,D,A,B,B,A,B,C,D,B,A,A,C,D,B,B
40_1723188546441.png,B,A,C,A,A,C,A,E,B,C,A,E,D,C,A,E,B,C,B,D,C,D,C,A,C,C,D,A,E,C,C,A,E,E,C,B,A,B,D,A,B,B,C,B,B,C,D,B,C,A,A,D,C,D,C,A,A,A,A,C,A,D,A,C,C,B,A,A,B,A,B,A
40_17231868031311.png,C,C,E,A,A,B,A,A,C,E,A,E,A,B,C,E,A,E,E,C,A,B,A,C,B,D,D,D,B,B,D,E,E,A,C,B,C,E,C,A,D,B,C,C,C,B,B,C,B,A,B,C,A,D,C,B,A,D,C,C,C,B,A,B,B,D,A,C,B,A,B,B
40_17231817291311.png,D,C,E,A,A,C,A,A,D,E,C,E,A,E,E,B,B,E,E,C,A,D,D,A,C,D,E,D,E,A,D,E,E,A,C,B,D,E,E,B,D,C,D,D,B,C,D,C,C,D,C,C,A,D,B,D,A,B,C,D,C,B,C,C,A,D,A,C,B,A,B,B
40_17231868181311.png,D,A,E,A,A,B,C,A,C,E,E,D,E,E,C,A,A,E,E,C,A,B,A,C,C,D,E,E,E,B,E,D,C,C,C,B,E,B,B,D,D,B,C,C,B,C,A,C,B,B,B,C,A,D,C,D,A,D,C,C,C,B,D,C,B,D,A,C,A,A,D,B
40_17231802691431.png,C,D,B,A,D,E,C,E,B,A,B,E,C,C,C,C,A,B,C,D,D,A,B,C,C,B,A,A,D,D,D,D,B,C,C,A,E,D,B,A,A,A,D,D,C,A,C,C,D,D,D,B,B,D,A,D,C,D,A,C,A,B,D,A,D,A,D,A,B,D,B,C
40_17231812361111.png,A,E,C,E,#,A,D,A,C,A,D,C,D,C,D,E,E,A,D,C,D,A,C,D,C,A,A,E,C,A,C,D,D,B,C,E,B,D,C,A,B,E,A,C,D,A,C,B,D,B,A,C,D,C,A,C,A,C,A,D,B,A,D,B,A,E,A,C,D,A,B,D
40_1723180177521.png,D,B,E,D,C,C,C,D,E,D,B,B,B,E,C,B,B,A,A,C,B,C,B,B,E,C,C,D,B,B,E,D,A,E,E,C,A,D,A,C,D,B,D,B,B,A,A,C,D,A,C,C,B,B,B,C,A,A,D,B,C,A,D,C,D,A,D,B,C,D,B,B
40_1723188543441.png,D,E,A,A,D,D,D,A,B,D,C,B,D,A,E,D,E,C,C,E,A,B,E,B,A,E,A,D,A,A,B,A,E,E,D,C,C,A,C,B,E,B,D,C,D,C,C,B,C,D,A,D,B,B,B,A,B,C,A,D,A,B,A,C,A,C,*,A,A,A,A,C
40_17231865441441.png,*,C,*,A,D,C,C,A,E,*,C,A,E,A,D,D,A,E,D,A,C,D,A,D,D,B,D,A,B,E,A,E,B,C,A,B,D,B,D,D,B,D,C,C,B,D,D,B,*,A,D,A,D,B,A,D,E,D,B,C,B,B,C,C,B,C,B,A,D,#,D,A
40_1723180220521.png,D,B,B,C,B,D,A,D,E,A,B,D,B,A,A,B,B,A,E,C,B,C,A,E,E,C,C,D,E,E,D,D,A,D,A,C,C,E,C,D,E,C,D,B,A,A,A,B,C,B,C,C,C,C,C,C,C,A,D,B,B,B,B,A,D,B,D,C,C,D,C,B
40_1723184718591.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
40_1723187414441.png,C,D,C,E,B,B,D,A,C,D,D,D,D,C,B,E,A,C,B,E,D,D,E,A,D,E,A,A,A,B,A,A,E,E,E,C,B,D,A,A,A,B,D,C,D,D,C,A,E,D,A,C,B,D,A,C,D,A,B,E,C,C,C,D,A,E,B,B,C,E,A,D
40_17231870781391.png,C,A,D,C,C,D,B,A,B,D,C,A,D,A,C,B,A,C,A,E,C,C,C,D,A,C,C,D,E,B,D,A,E,C,C,B,B,B,A,C,E,A,D,#,C,D,D,B,A,D,C,D,C,B,A,C,C,C,C,C,B,B,A,B,B,C,A,C,A,A,D,D
40_17231870831391.png,E,A,D,E,E,E,C,A,C,A,B,C,B,C,C,D,A,A,A,E,B,C,C,D,E,C,C,E,E,A,A,D,D,A,A,E,A,C,A,C,A,A,D,B,C,A,A,D,A,D,C,C,C,A,D,C,B,B,C,C,B,B,A,C,B,C,A,C,A,A,D,D
40_17231802891431.png,E,D,A,C,B,D,D,C,D,D,B,E,C,C,B,B,C,C,C,B,D,B,B,D,A,C,C,D,C,C,B,D,B,D,C,C,A,C,D,A,D,A,B,B,C,C,C,C,B,C,D,B,B,C,B,B,D,E,A,C,B,C,B,E,D,D,B,B,B,C,B,C
40_17231822737631.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
40_17231826251431.png,A,D,C,C,B,A,C,A,C,D,C,B,E,C,B,A,D,C,C,B,D,D,C,D,A,E,A,C,A,C,D,D,A,D,C,E,E,B,D,A,E,A,D,D,B,C,B,C,D,D,A,B,B,C,D,A,A,D,A,C,B,A,D,B,B,B,D,A,C,D,D,B
40_17231812331111.png,B,D,B,A,D,C,D,A,D,A,D,C,E,B,D,B,A,D,B,C,C,C,C,C,C,E,D,E,B,B,B,B,C,D,E,C,C,D,B,E,C,B,D,A,A,B,D,A,C,D,A,C,B,D,A,D,A,C,A,A,A,C,C,D,A,C,B,A,C,B,A,C
40_1723187431441.png,D,A,A,C,B,D,D,A,B,D,B,D,A,C,B,E,A,C,A,E,A,C,E,C,A,E,D,A,B,B,C,D,E,E,D,A,B,D,D,B,C,E,D,D,B,A,D,A,C,A,A,B,A,A,C,D,A,C,B,C,B,A,C,C,E,A,B,A,A,D,B,C
40_1723184722591.png,A,B,C,C,D,D,B,E,E,B,A,C,C,D,B,E,A,C,B,D,A,A,D,C,E,D,C,A,A,D,B,B,E,C,B,C,E,D,E,A,E,D,C,A,C,B,D,B,A,C,A,B,C,A,D,B,E,B,D,B,D,B,C,A,B,D,B,D,A,D,B,C
40_1723188571521.png,C,A,C,C,C,D,B,D,A,A,B,A,D,E,C,C,A,E,E,B,C,B,B,C,B,B,C,D,C,B,C,D,B,A,E,D,D,B,C,C,E,C,D,B,B,C,A,C,A,B,C,C,C,C,B,C,E,A,D,A,C,C,B,D,C,A,D,C,B,D,C,A
40_17231830287631.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
40_1723182837521.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
40_1723184748591.png,A,C,C,D,A,E,A,C,E,C,A,C,C,B,C,C,A,C,B,B,A,B,C,C,B,C,E,A,A,C,C,E,D,D,C,D,E,D,B,E,C,D,C,C,B,B,A,B,A,A,D,D,A,D,C,C,E,B,D,C,D,D,C,B,B,C,B,C,C,D,C,E
40_17231803181431.png,A,A,C,B,B,A,C,A,C,D,C,B,E,C,B,B,D,A,A,A,D,E,B,A,A,*,E,E,E,A,D,C,A,A,A,A,B,A,D,A,A,A,D,B,A,D,A,A,A,A,A,B,B,D,A,A,A,D,A,C,B,A,A,D,A,A,D,A,C,B,C,A
40_1723180200521.png,D,B,B,A,A,A,C,C,B,E,C,A,D,E,E,E,B,A,A,B,B,D,B,A,B,E,D,B,B,E,A,A,D,C,C,E,D,D,C,B,E,A,D,B,B,A,A,A,C,B,C,C,D,C,D,A,B,A,D,B,A,D,D,B,D,D,B,C,D,A,C,A
40_17231802931431.png,A,D,C,C,D,A,D,C,A,D,C,B,D,D,D,A,D,C,B,A,D,D,E,C,C,B,D,A,E,D,D,B,C,D,D,B,A,A,B,A,D,A,D,D,C,B,C,C,D,B,A,*,B,C,A,A,A,D,A,C,B,A,A,B,C,A,A,A,B,D,A,B
40_17231822807631.png,E,B,A,B,E,D,D,A,D,B,A,B,C,E,A,B,C,E,A,B,D,C,E,D,C,A,C,E,E,A,C,C,D,D,A,A,C,D,B,D,A,D,A,C,C,A,B,A,A,A,A,D,A,D,B,D,D,C,D,B,B,A,B,D,B,B,C,C,B,A,C,D
40_1723217719561.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
40_17231887101431.png,B,D,D,C,C,E,D,C,C,D,C,B,A,C,B,E,A,B,B,B,D,C,D,D,C,C,A,D,E,C,D,D,C,C,C,B,E,B,B,A,B,A,D,A,B,B,B,C,C,B,A,B,B,B,A,B,C,D,A,C,B,A,C,C,A,A,B,B,B,D,C,C
40_17231910297631.png,A,C,D,B,E,C,A,A,D,D,D,D,B,E,A,E,A,B,A,D,C,A,D,D,C,A,D,E,A,B,A,D,B,D,B,C,B,D,C,D,C,B,A,C,B,A,B,B,D,B,A,D,A,C,B,C,D,C,D,B,B,A,B,C,B,E,C,C,B,B,D,A
40_17231821801311.png,D,C,E,A,A,B,C,A,A,E,C,E,A,B,C,A,A,E,E,C,A,D,A,B,C,C,E,D,E,E,D,E,D,B,C,E,E,C,B,A,B,B,C,A,B,D,B,C,A,A,B,C,A,D,B,C,A,D,C,C,C,D,D,C,C,D,A,C,B,A,C,B
40_17231812431111.png,B,E,B,C,B,C,D,A,C,A,D,B,D,C,D,B,A,C,E,C,A,B,C,D,C,E,A,E,D,D,C,B,A,D,E,C,D,A,B,A,E,D,D,C,B,A,C,D,B,A,D,C,B,A,D,C,B,B,D,A,B,C,D,B,C,A,C,D,B,A,D,C
40_17231865501441.png,B,C,B,A,D,C,C,E,E,C,C,A,E,D,B,D,B,A,D,A,D,E,A,D,D,B,C,C,A,B,E,A,C,B,E,D,B,E,D,D,B,D,C,B,C,D,B,B,E,A,D,A,D,B,A,D,E,D,B,C,A,B,B,A,B,C,B,C,D,C,A,E
40_17231865191311.png,D,C,E,A,A,D,E,A,E,E,A,E,C,B,C,B,A,D,D,C,A,D,B,B,B,D,B,D,C,C,D,E,E,D,C,A,C,C,E,B,D,B,C,C,A,B,B,A,B,C,B,C,C,C,B,C,A,B,C,C,B,*,B,C,E,D,A,C,A,A,C,B
40_17231821521311.png,C,C,E,A,A,D,A,A,C,E,A,E,D,A,E,A,A,E,D,C,A,A,B,A,A,C,E,D,A,E,A,E,A,C,C,A,A,C,E,A,D,B,C,C,B,B,A,A,E,C,B,C,C,D,B,D,B,D,C,D,C,B,A,C,A,D,A,C,B,A,A,D
40_17231894261311.png,C,C,E,A,A,E,C,E,C,E,A,D,B,B,C,A,A,B,E,C,A,C,C,C,B,D,E,A,C,E,D,E,D,A,C,C,E,E,B,B,E,B,C,C,B,C,B,C,B,A,B,C,A,D,C,B,A,D,C,C,C,B,B,C,B,D,A,C,B,A,D,B
40_17231865551441.png,B,C,B,C,E,A,B,C,A,B,E,A,B,E,A,D,A,C,D,C,E,A,C,C,A,B,E,A,C,D,C,E,A,E,D,B,C,E,B,A,C,E,C,B,B,B,A,C,E,A,D,D,B,A,A,C,E,B,E,C,C,D,D,B,B,D,B,C,A,C,B,E
40_17231865321311.png,D,A,E,A,A,B,A,A,D,D,A,D,B,A,E,A,A,E,D,C,A,B,D,B,E,D,E,D,B,D,D,E,C,E,C,A,C,E,E,A,D,B,D,D,A,C,A,C,C,B,B,D,A,D,B,E,A,D,C,C,C,C,B,A,B,D,A,C,B,A,B,D
40_17231865591441.png,A,C,B,E,D,A,B,C,A,A,D,A,E,E,B,D,D,E,E,A,E,B,C,A,B,D,E,A,C,B,C,C,B,D,D,B,D,E,C,B,C,C,C,C,B,A,A,A,C,A,D,D,D,B,C,C,E,D,D,C,D,C,C,A,B,C,B,C,A,A,A,E
40_1723179957561.png,D,E,E,C,A,A,C,E,E,#,D,A,C,B,C,C,A,B,C,D,D,C,A,A,D,D,B,C,C,D,D,E,C,C,E,A,D,D,C,C,D,B,C,B,C,B,D,C,C,C,B,C,C,D,A,C,A,D,C,C,C,D,A,C,D,D,A,C,A,A,B,D
40_1723186391561.png,D,E,D,C,B,D,B,D,C,B,B,C,C,B,C,B,B,A,C,B,D,C,A,A,C,D,C,D,C,D,A,A,B,C,C,A,A,D,D,D,D,B,C,C,B,C,D,C,B,B,B,C,A,D,B,D,A,D,C,C,C,B,D,C,A,D,A,C,A,A,C,A
40_17231910227631.png,E,D,E,B,E,B,A,E,D,D,C,D,D,E,A,D,D,D,A,D,A,B,A,B,A,A,D,E,A,B,B,D,E,D,E,E,E,D,A,D,A,D,A,C,B,A,B,A,D,A,A,B,C,B,B,B,D,C,D,B,B,A,B,D,A,E,C,D,C,C,A,B
40_17231826181431.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
40_17231825931431.png,B,A,D,A,E,E,C,C,D,B,C,D,C,B,B,E,D,D,E,C,D,B,C,D,B,C,A,A,A,C,D,D,B,D,B,B,B,A,D,A,B,C,D,A,B,C,C,B,B,B,C,B,B,B,D,D,E,A,C,D,A,B,B,B,E,C,C,A,A,B,A,D
40_17231863657631.png,E,D,A,E,E,C,D,C,D,D,C,B,C,B,A,D,D,B,A,B,C,B,C,D,C,A,C,E,C,B,A,D,D,D,E,A,B,D,E,D,B,D,A,C,B,A,D,B,D,A,A,B,C,B,B,B,D,B,D,B,B,A,B,D,C,A,C,C,B,B,A,B
40_1723188555441.png,D,E,B,D,E,#,D,A,B,D,D,D,C,C,D,B,A,A,E,E,D,C,E,A,D,E,C,A,B,C,B,E,E,E,D,A,B,A,E,A,C,B,D,C,A,A,C,B,D,B,A,C,B,A,B,D,B,C,A,C,A,D,A,C,D,A,B,A,A,D,C,D
40_17231821381311.png,D,C,E,A,A,B,B,A,C,E,A,E,C,A,C,E,E,B,D,C,A,C,A,D,A,D,B,C,E,E,D,E,C,D,C,B,C,E,A,A,D,B,C,C,B,B,D,C,B,A,B,C,A,C,B,D,A,D,C,A,C,B,D,C,D,D,A,C,B,A,A,D
40_17231876131311.png,D,C,E,A,A,B,A,D,D,C,A,E,A,A,C,A,A,E,E,C,B,A,B,A,E,D,E,E,A,C,D,E,A,B,E,A,C,E,B,B,C,A,C,C,B,B,C,C,D,D,C,B,C,A,A,B,B,A,C,C,D,B,A,C,B,D,A,C,A,A,C,A
40_1723184697591.png,A,A,C,D,B,D,A,C,D,A,A,A,B,E,D,C,C,C,D,D,A,C,E,E,C,D,E,A,A,B,B,B,B,D,C,C,A,D,C,D,C,B,C,C,B,B,A,B,B,A,D,D,B,B,C,C,B,A,D,A,D,D,C,B,B,C,B,C,A,D,C,C
40_1723180219521.png,D,B,B,C,A,A,B,D,E,C,C,A,D,E,C,A,C,A,E,B,A,C,D,A,E,E,C,D,C,A,A,A,C,C,C,E,D,D,C,B,D,C,B,B,B,A,A,#,B,B,C,C,D,C,A,C,A,A,D,B,A,D,D,B,D,B,C,C,C,A,B,B
40_17231821431311.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
40_17231821411311.png,D,C,E,A,A,B,C,A,C,D,A,E,B,A,E,A,D,C,E,C,A,C,D,A,C,C,E,D,E,D,D,E,D,B,C,B,E,D,E,A,D,B,C,C,B,B,E,C,B,B,B,C,A,D,B,C,A,D,C,C,C,D,D,C,A,D,A,C,B,A,B,D
40_1723184712591.png,A,C,C,E,A,D,A,C,B,A,A,C,C,B,B,C,C,C,B,B,A,A,C,B,C,D,E,D,B,C,E,E,D,D,C,B,E,C,B,A,C,A,C,C,B,B,C,A,B,A,D,D,A,C,C,C,A,B,D,A,B,C,B,B,B,A,B,C,C,B,D,C
40_17231870211391.png,C,B,C,B,A,D,B,A,A,C,C,A,D,B,D,C,A,B,E,E,E,D,B,C,D,B,C,A,A,A,B,D,A,C,C,E,C,B,E,C,D,A,D,A,C,D,B,C,B,A,C,C,C,A,A,C,D,B,C,C,D,C,B,A,C,B,D,A,C,B,B,D
40_17231826061431.png,A,D,C,C,A,A,C,C,E,A,C,B,E,C,B,A,A,C,D,E,D,C,C,C,A,D,B,D,B,D,C,A,A,C,E,E,B,A,B,A,B,C,D,A,D,C,C,C,D,D,A,B,B,B,B,B,C,D,A,A,B,A,B,B,D,A,D,B,C,D,D,D
40_17231876051311.png,C,E,E,A,*,C,C,C,C,E,A,E,B,E,E,A,A,A,E,E,D,D,B,A,A,D,E,D,E,A,D,E,D,A,C,B,E,E,C,B,D,B,C,C,C,B,C,A,B,D,B,D,A,C,C,C,B,D,C,C,D,B,B,C,A,D,A,C,B,A,B,D
40_17231894291311.png,D,E,E,A,A,A,E,A,C,E,C,D,C,D,C,B,A,B,D,C,D,C,A,C,C,A,E,D,E,B,D,E,A,D,C,A,A,E,C,B,C,B,C,C,B,D,A,C,B,A,B,C,A,D,A,C,B,B,C,C,C,A,A,B,C,D,A,C,B,A,B,A
40_17231894281311.png,C,C,E,A,A,B,C,A,C,E,A,D,D,B,D,A,A,E,D,E,D,C,D,B,A,D,E,D,E,D,D,E,C,A,C,A,B,E,C,B,D,B,D,D,B,C,D,A,E,A,B,C,A,D,C,A,A,C,C,C,C,B,A,C,B,D,A,C,B,A,B,B
40_1723184717591.png,A,A,C,D,B,D,A,C,D,A,A,C,C,B,B,C,B,E,E,D,A,B,C,E,C,D,E,A,A,B,B,B,D,E,D,D,E,A,C,A,C,B,C,C,B,B,A,C,D,A,D,B,C,B,A,C,A,C,D,C,B,C,D,B,B,#,B,C,A,C,C,D
40_1723180184521.png,D,B,B,C,A,D,B,C,A,B,C,A,D,B,B,B,B,E,E,B,B,C,D,A,E,E,C,C,B,A,A,D,D,C,C,E,D,D,C,B,D,C,B,B,B,A,A,A,B,B,C,D,B,A,E,A,A,A,D,B,B,D,D,B,C,B,D,A,A,A,D,B
40_1723182852521.png,D,B,B,D,A,E,A,D,E,D,D,A,D,E,C,E,B,A,E,D,B,C,B,C,E,D,C,E,C,D,D,A,E,B,E,C,B,D,C,A,D,B,D,B,B,A,B,A,D,B,C,C,B,C,A,C,D,A,D,B,C,D,B,C,E,D,B,A,D,C,C,A
40_1723188562441.png,D,A,B,D,C,B,D,C,A,D,D,D,D,C,B,D,A,C,A,E,D,D,E,A,D,C,C,A,D,D,B,A,E,E,D,B,B,D,D,A,D,A,D,C,C,B,D,B,A,D,A,C,A,A,C,B,B,C,D,C,A,A,A,C,C,A,A,B,A,C,B,D
40_17231803001431.png,B,C,C,A,C,A,C,B,E,B,C,E,D,A,C,E,D,E,A,A,A,D,C,D,A,D,A,D,A,B,E,B,C,D,E,B,A,D,A,B,E,A,C,A,B,A,D,A,C,B,D,A,B,B,C,A,B,D,B,A,C,A,D,D,C,A,C,A,B,D,C,B
40_17231826241431.png,C,A,C,A,C,C,C,A,C,D,D,B,E,C,B,C,D,C,E,B,D,D,C,D,A,D,A,A,A,C,D,C,B,D,C,C,C,D,C,A,E,A,D,C,D,B,D,C,C,D,C,B,B,B,D,D,C,D,A,C,A,D,B,B,A,A,D,B,B,C,B,A
40_17231894611311.png,D,E,E,A,A,D,C,A,C,D,B,E,B,E,E,E,A,B,D,C,A,C,A,D,E,D,A,C,E,C,D,E,D,C,D,A,C,E,E,B,D,B,C,C,B,C,A,A,E,C,B,A,A,D,B,B,C,B,C,C,B,C,A,B,E,D,A,C,A,A,C,D
40_1723182847521.png,D,*,*,D,A,E,C,D,E,D,D,A,D,E,C,E,B,A,E,D,A,C,B,C,E,D,C,A,C,D,D,A,E,B,E,D,B,D,C,A,E,A,D,B,B,A,B,D,D,B,C,C,D,D,A,C,D,A,D,B,C,D,C,C,C,B,D,C,D,D,C,B
